Iteration	Time	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2335.668760538101	69.200725268	69.132359831	-74.6932800371	165.624306693	31.6996685651	34.8131442723	-9.05574306883	91.5760441386
1	4459.3169322013855	-340.554035537	94.2495519194	-489.785923609	-223.360503911	344.748326084	40.6451051185	290.300070832	409.409589582
2	6616.648649215698	-573.816032058	56.8110067093	-648.552223274	-462.126864321	682.213569091	83.0640558252	541.710504914	789.682197944
3	8768.412885665894	-689.998782471	83.863077122	-829.400535925	-532.700789283	639.556711583	61.8743977985	519.062179175	747.558720551
4	10913.461066961288	-585.236546879	70.670026803	-722.405383098	-497.962856035	544.412988938	55.0555600875	470.110803183	657.166974014
5	13079.880070447922	-568.142850602	53.972717138	-644.63372146	-473.217485669	472.379091835	41.1268540138	401.240019744	534.333347681
6	15217.454784870148	-633.90101537	74.9461280144	-772.356106019	-511.621827509	533.594994747	56.3596222362	451.499608364	636.265831577
7	17365.69008207321	-656.70384029	72.6345763006	-759.806010302	-526.232225997	534.010790164	72.3466362391	426.184780005	682.228590893
8	19536.78426837921	-592.929750674	59.8340045792	-697.847258494	-487.026426064	464.014598025	57.9420891006	321.757352585	524.251157907
9	21714.9158475399	-631.121591508	49.0547785822	-695.832625078	-539.869541826	492.179828509	49.9203067436	414.571325494	553.735349343
10	23890.653120279312	-550.79939207	64.0412538133	-693.00813015	-483.203301168	402.386055339	66.4834780382	326.223187132	553.70121994
11	26100.37478876114	-629.186783486	102.710206739	-774.762593839	-425.719259215	464.12662643	82.7530573254	365.025194353	602.427289043
12	28299.168315649033	-395.272816968	54.1544282293	-478.639559848	-308.863935787	245.041141954	43.2432803002	177.981779617	335.448878452
13	30520.000992298126	-578.782365848	52.412747343	-672.664617135	-494.64426442	414.643201496	55.9375122809	314.415697414	490.729942215
14	32757.930253982544	-450.238730078	34.0619712349	-507.052288271	-387.078660975	269.305536231	35.8558664895	216.703893544	329.422912839
