Iteration	Time	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2379.9721410274506	24.0901890782	44.8614210956	-58.3596812983	89.6258033504	-84.9604131941	27.984000985	-139.261680422	-36.9995657196
1	4761.974450349808	-284.129887376	65.5318320924	-393.129829721	-185.024132469	226.619140849	47.8046185178	154.685880293	315.664585326
2	7130.457151651382	-485.277063632	72.6747558467	-581.332255647	-336.841052948	418.309465321	53.2104742822	280.149880802	492.893682955
3	9521.61844944954	-707.279062083	67.2800781469	-799.408099125	-553.113347925	708.186960774	34.229170999	658.793125759	769.817807632
4	11953.003711223602	-657.578399482	113.064618246	-860.33759081	-490.256910918	666.916205707	57.9537309495	591.375305863	746.533147917
5	14381.3653819561	-674.20680821	48.3479331155	-758.822201622	-618.126800226	580.489974768	41.6410231707	514.694616089	654.454412195
6	16785.849314689636	-450.053765447	106.015219498	-609.516794735	-287.493195	503.860524195	54.9169831464	421.948355578	583.913473202
7	19218.48197579384	-550.079098488	92.3494950792	-663.978328421	-317.614668988	517.79186492	46.9052352722	442.111912367	594.330038773
8	21626.05136179924	-628.967685214	62.2269872603	-722.062606794	-520.582305221	489.547041792	58.6208677303	367.279931352	589.943383785
9	24066.369077682495	-447.743042226	70.2613920213	-570.346872341	-319.741819376	378.235063717	63.4188307694	271.003176711	484.730266203
10	26479.542553663254	-506.687597099	83.5910529681	-645.553385111	-383.387783578	400.760810606	68.438245762	299.293703112	493.689923819
11	28913.951466083527	-489.8653885	42.8126581079	-570.627172632	-423.449547997	340.349601297	54.477285064	258.995217278	447.382471255
12	31356.125573396683	-475.281417882	67.0275338136	-591.407597169	-389.924424174	377.903499214	57.2364332898	267.028300184	460.635296739
13	33843.33592891693	-545.698809891	44.4826565974	-609.485861477	-456.244644046	374.581586482	41.2613267951	301.029674745	431.457919894
14	36306.61048936844	-540.738761518	91.7833448653	-721.523147569	-369.540888307	431.747542614	70.4691753059	309.451729115	556.149823831
