Iteration	Time	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	2107.5310645103455	-305.272125649	25.6729800235	-335.480147737	-260.240366026	231.855146794	21.1784943174	196.296271465	260.652490163
1	4148.063440322876	-1089.21976099	45.6379577335	-1149.30935505	-1020.15134816	929.654030124	45.313019069	859.675637894	986.295811825
2	6199.764758110046	-1249.70574518	39.6791224203	-1306.6398517	-1182.14112843	1077.23868506	37.3473347424	1020.26157919	1129.01463679
3	8256.776168823242	-1409.24209259	80.7273616452	-1529.620831	-1254.19386836	1255.22319749	77.1219589641	1083.74241318	1342.68705661
4	10326.050071001053	-1401.79668874	43.7137341061	-1456.18090189	-1318.9261662	1254.14553865	39.1692229722	1181.10991558	1315.06408779
5	12437.299908638	-1367.99942426	41.3925879176	-1463.23263146	-1312.81459094	1182.44119994	33.1207937482	1145.12330039	1264.08982774
6	14510.335455656052	-1490.21278448	46.0567830652	-1585.24566204	-1431.01331328	1307.46965413	47.8219410204	1241.2030123	1421.24497613
7	16613.338305473328	-1553.30539313	78.6048803258	-1666.55542057	-1425.96999732	1375.82622806	75.8108533855	1250.11119199	1482.06026387
8	18715.753066539764	-1519.92168978	58.9070779729	-1635.27729671	-1457.52726371	1325.36477701	57.8584245206	1260.00649436	1449.40625074
9	20810.17607975006	-1574.72151535	42.8627494481	-1651.14876939	-1507.69563842	1402.48038197	47.0810112857	1324.96308478	1502.44777752
10	22913.67776632309	-1574.72105108	57.1717882429	-1665.89946977	-1488.55667964	1391.79857358	50.2592704479	1315.75185816	1476.28243302
11	25057.046371221542	-1534.18391321	60.7610379717	-1622.66132529	-1436.99111526	1357.33510713	63.1311242784	1228.05776198	1438.34149703
12	27208.228560209274	-1539.63546803	68.4018502666	-1607.17357031	-1379.15908176	1367.83813126	64.6201015377	1215.96706976	1461.46964752
13	29351.667350292206	-1536.60814454	80.1554463234	-1681.37583652	-1412.66255316	1355.68413977	76.5553594716	1225.67292319	1488.31357897
14	31489.9744951725	-1582.14473176	68.3410999117	-1681.52434566	-1440.53925993	1391.32458229	71.5584617492	1231.38888238	1487.24114302
